workerid,trial_number,filler,prime_type,prime_strength,trial_type,prime_target,within_between,category,p1-correct,p1-response,p2-correct,p2-response,t-correct,t-response,strong_response_bool
30,72,"""true""",six,weak,six,six six,within,"""six_weak_six""",1,"""right""",1,"""right""",0,"""right""",1
31,7,"""false""",some,weak,four,four some,between,"""some_weak_four""",1,"""left""",0,"""left""",0,"""left""",0
31,8,"""false""",four,weak,four,four four,within,"""four_weak_four""",1,"""left""",1,"""left""",0,"""left""",0
31,9,"""false""",four,strong,four,four four,within,"""four_strong_four""",1,"""right""",0,"""left""",1,"""right""",1
31,10,"""false""",six,weak,four,four six,between,"""six_weak_four""",1,"""right""",1,"""right""",0,"""right""",1
31,11,"""false""",six,strong,some,six some,between,"""six_strong_some""",1,"""right""",1,"""right""",1,"""right""",1
31,12,"""false""",some,weak,four,four some,between,"""some_weak_four""",0,"""left""",1,"""right""",0,"""right""",1
31,13,"""false""",some,strong,six,six some,between,"""some_strong_six""",0,"""left""",0,"""left""",1,"""right""",1
31,14,"""false""",some,weak,six,six some,between,"""some_weak_six""",1,"""right""",0,"""left""",0,"""right""",1
31,15,"""false""",four,strong,some,four some,between,"""four_strong_some""",0,"""left""",1,"""right""",1,"""right""",1
31,16,"""false""",four,weak,some,four some,between,"""four_weak_some""",1,"""right""",0,"""left""",0,"""right""",1
31,17,"""false""",four,weak,some,four some,between,"""four_weak_some""",1,"""right""",1,"""right""",0,"""right""",1
31,18,"""false""",four,strong,six,four six,between,"""four_strong_six""",0,"""left""",0,"""left""",1,"""right""",1
31,19,"""false""",some,weak,four,four some,between,"""some_weak_four""",1,"""right""",0,"""left""",0,"""right""",1
31,20,"""false""",some,strong,four,four some,between,"""some_strong_four""",0,"""left""",0,"""left""",1,"""right""",1
31,21,"""false""",some,weak,some,some some,within,"""some_weak_some""",0,"""left""",1,"""right""",0,"""right""",1
31,22,"""false""",some,strong,four,four some,between,"""some_strong_four""",1,"""right""",0,"""left""",1,"""right""",1
31,23,"""false""",some,strong,some,some some,within,"""some_strong_some""",0,"""left""",0,"""left""",1,"""right""",1
31,24,"""false""",six,strong,some,six some,between,"""six_strong_some""",0,"""left""",1,"""right""",1,"""right""",1
31,25,"""true""",some,weak,some,some some,within,"""some_weak_some""",0,"""left""",0,"""left""",0,"""left""",0
31,26,"""false""",some,strong,some,some some,within,"""some_strong_some""",0,"""left""",0,"""left""",1,"""left""",0
31,27,"""false""",six,strong,four,four six,between,"""six_strong_four""",1,"""right""",1,"""right""",1,"""right""",1
31,28,"""false""",four,strong,six,four six,between,"""four_strong_six""",0,"""left""",0,"""left""",1,"""right""",1
31,29,"""true""",six,strong,six,six six,within,"""six_strong_six""",1,"""right""",0,"""left""",1,"""right""",1
31,30,"""false""",four,strong,six,four six,between,"""four_strong_six""",1,"""right""",1,"""right""",1,"""right""",1
31,31,"""true""",six,weak,six,six six,within,"""six_weak_six""",0,"""left""",1,"""right""",0,"""right""",1
31,32,"""false""",four,weak,four,four four,within,"""four_weak_four""",1,"""right""",0,"""left""",0,"""right""",1
31,33,"""false""",four,weak,six,four six,between,"""four_weak_six""",0,"""left""",1,"""right""",0,"""right""",1
31,34,"""true""",four,weak,four,four four,within,"""four_weak_four""",0,"""left""",1,"""right""",0,"""right""",1
31,35,"""true""",four,strong,four,four four,within,"""four_strong_four""",0,"""left""",0,"""left""",1,"""right""",1
31,36,"""false""",four,strong,some,four some,between,"""four_strong_some""",1,"""right""",1,"""right""",1,"""right""",1
31,37,"""false""",some,weak,some,some some,within,"""some_weak_some""",1,"""right""",1,"""right""",0,"""right""",1
31,38,"""false""",four,strong,some,four some,between,"""four_strong_some""",0,"""left""",1,"""right""",1,"""right""",1
31,39,"""true""",some,strong,some,some some,within,"""some_strong_some""",1,"""right""",1,"""right""",1,"""right""",1
31,40,"""false""",some,weak,six,six some,between,"""some_weak_six""",1,"""right""",1,"""right""",0,"""right""",1
31,41,"""false""",some,strong,six,six some,between,"""some_strong_six""",1,"""right""",0,"""left""",1,"""right""",1
31,42,"""false""",six,weak,four,four six,between,"""six_weak_four""",0,"""left""",0,"""left""",0,"""right""",1
31,43,"""false""",four,weak,six,four six,between,"""four_weak_six""",1,"""right""",1,"""right""",0,"""right""",1
31,44,"""false""",four,strong,four,four four,within,"""four_strong_four""",1,"""right""",1,"""right""",1,"""right""",1
31,45,"""true""",six,weak,six,six six,within,"""six_weak_six""",1,"""right""",0,"""left""",0,"""right""",1
31,46,"""true""",six,strong,six,six six,within,"""six_strong_six""",0,"""left""",1,"""right""",1,"""right""",1
31,47,"""false""",six,strong,four,four six,between,"""six_strong_four""",1,"""right""",0,"""left""",1,"""right""",1
31,48,"""false""",some,weak,six,six some,between,"""some_weak_six""",1,"""right""",1,"""right""",0,"""right""",1
31,49,"""false""",six,weak,four,four six,between,"""six_weak_four""",0,"""left""",0,"""left""",0,"""right""",1
31,50,"""false""",six,strong,some,six some,between,"""six_strong_some""",1,"""right""",1,"""right""",1,"""right""",1
31,51,"""false""",some,strong,six,six some,between,"""some_strong_six""",1,"""right""",1,"""right""",1,"""right""",1
31,52,"""true""",some,strong,some,some some,within,"""some_strong_some""",0,"""left""",0,"""left""",1,"""right""",1
31,53,"""false""",six,strong,six,six six,within,"""six_strong_six""",1,"""right""",0,"""left""",1,"""right""",1
31,54,"""false""",six,weak,some,six some,between,"""six_weak_some""",1,"""right""",1,"""right""",0,"""left""",0
31,55,"""false""",four,weak,six,four six,between,"""four_weak_six""",1,"""right""",0,"""left""",0,"""right""",1
31,56,"""false""",four,weak,four,four four,within,"""four_weak_four""",0,"""left""",0,"""left""",0,"""right""",1
31,57,"""false""",six,strong,six,six six,within,"""six_strong_six""",1,"""right""",0,"""left""",1,"""right""",1
31,58,"""false""",some,strong,some,some some,within,"""some_strong_some""",0,"""left""",1,"""right""",1,"""right""",1
31,59,"""false""",six,weak,some,six some,between,"""six_weak_some""",1,"""right""",0,"""left""",0,"""right""",1
31,60,"""false""",six,strong,four,four six,between,"""six_strong_four""",0,"""left""",1,"""right""",1,"""right""",1
31,61,"""false""",six,weak,six,six six,within,"""six_weak_six""",0,"""left""",0,"""left""",0,"""right""",1
31,62,"""false""",six,weak,some,six some,between,"""six_weak_some""",0,"""left""",0,"""left""",0,"""right""",1
31,63,"""false""",six,weak,six,six six,within,"""six_weak_six""",1,"""right""",0,"""left""",0,"""right""",1
31,64,"""false""",some,strong,four,four some,between,"""some_strong_four""",1,"""right""",0,"""left""",1,"""right""",1
31,65,"""true""",some,weak,some,some some,within,"""some_weak_some""",0,"""left""",0,"""left""",0,"""right""",1
31,66,"""false""",four,strong,four,four four,within,"""four_strong_four""",0,"""left""",0,"""left""",1,"""right""",1
31,67,"""true""",four,weak,four,four four,within,"""four_weak_four""",0,"""left""",0,"""left""",0,"""left""",0
31,68,"""true""",four,strong,four,four four,within,"""four_strong_four""",0,"""left""",1,"""right""",1,"""right""",1
31,69,"""false""",six,strong,six,six six,within,"""six_strong_six""",1,"""right""",0,"""left""",1,"""right""",1
31,70,"""false""",some,weak,some,some some,within,"""some_weak_some""",0,"""left""",1,"""right""",0,"""right""",1
31,71,"""false""",six,weak,six,six six,within,"""six_weak_six""",1,"""right""",1,"""right""",0,"""right""",1
31,72,"""false""",four,weak,some,four some,between,"""four_weak_some""",0,"""left""",1,"""right""",0,"""right""",1
32,7,"""false""",four,weak,some,four some,between,"""four_weak_some""",1,"""right""",0,"""left""",0,"""right""",1
32,8,"""false""",six,weak,four,four six,between,"""six_weak_four""",0,"""left""",0,"""left""",0,"""right""",1
